Day,Tasks,Deliverables,Dependencies
Day 1,"Project setup, git init, folder structure, ".env template,"Repo ready, Docker skeleton",None
Day 2,schemas.py" — All Pydantic models (UnifiedDataModel, Relationship, etc.)",Validated data models,Day 1
Day 3,tools.py" — Polars profiling functions (profile_schema, compute_pearson)",Deterministic tools module,Day 2
Day 4,Docker Compose: postgres + redis + minio + healthchecks,Local dev environment,Day 1
Day 5,"PostgreSQL migrations (users, pipelines, data_models, audit_log tables)",Database schema ready,Day 4
Day 6,FastAPI skeleton: /health", "/api/v1/" router, OpenAPI docs",API foundation,Day 5
Day 7,llm_factory.py — Groq + Ollama provider abstraction,LLM engine config,Day 2
Day 8,prompt_registry.py — Versioned prompts in PostgreSQL,Prompt management,Day 7
Day 9,JWT auth middleware + RBAC enforcement,Secure API endpoints,Day 6
Day 10,Unit tests for schemas + tools + auth (target: 80% coverage),Test suite baseline,Day 2-9
